kindName;otherKindName;count;count_unique;min_time;max_time;avg_time
taskDelivered;taskOperation;;5;1556951323000;1556951323000;1556951323000.0
taskOperation;taskSupported;;5;1556951323000;1556951323000;1556951323000.0
taskSupported;taskSupported;;5;1556951923000;1556951923000;1556951923000.0
taskSupported;taskCostSpent;;5;1556951923000;1556951923000;1556951923000.0
taskCostSpent;taskDelivered;;5;1556951923000;1556951923000;1556951923000.0
taskDelivered;taskOperation;;2;1556951290000;1556951290000;1556951290000.0
taskOperation;taskCostSpent;;2;1556951290000;1556951290000;1556951290000.0
taskCostSpent;taskAssigned;;2;1556952067000;1556952067000;1556952067000.0
taskAssigned;taskCostSpent;;2;1556951290000;1556951290000;1556951290000.0
taskCostSpent;taskNew;;2;1556952067000;1556952067000;1556952067000.0
taskNew;taskNew;;10;1556951382000;1556951382000;1556951382000.0
taskNew;taskDelivered;;11;1556951383000;1556951383000;1556951383000.0
taskDelivered;taskDelivered;;11;1556951383000;1556951383000;1556951383000.0
taskDelivered;taskOperation;;10;1556951382000;1556951382000;1556951382000.0
taskOperation;taskCostSpent;;10;1556951382000;1556951382000;1556951382000.0
taskCostSpent;taskAssigned;;10;1556952195000;1556952195000;1556952195000.0
taskAssigned;taskCostSpent;;10;1556951382000;1556951382000;1556951382000.0
taskCostSpent;taskOperation;;10;1556952195000;1556952195000;1556952195000.0
taskOperation;taskCostSpent;;11;1556951383000;1556951383000;1556951383000.0
taskCostSpent;taskAssigned;;11;1556952217000;1556952217000;1556952217000.0
taskAssigned;taskCostSpent;;11;1556951383000;1556951383000;1556951383000.0
taskCostSpent;taskNew;;11;1556952217000;1556952217000;1556952217000.0
taskNew;taskDelivered;;12;1556951442000;1556951442000;1556951442000.0
taskDelivered;taskOperation;;12;1556951442000;1556951442000;1556951442000.0
taskOperation;taskCostSpent;;12;1556951442000;1556951442000;1556951442000.0
taskCostSpent;taskAssigned;;12;1556952075000;1556952075000;1556952075000.0
taskAssigned;taskCostSpent;;12;1556951442000;1556951442000;1556951442000.0
taskCostSpent;taskNew;;12;1556952075000;1556952075000;1556952075000.0
taskNew;taskNew;;13;1556951464000;1556951464000;1556951464000.0
taskNew;taskDelivered;;14;1556951476000;1556951476000;1556951476000.0
taskDelivered;taskDelivered;;14;1556951476000;1556951476000;1556951476000.0
taskDelivered;taskOperation;;13;1556951464000;1556951464000;1556951464000.0
taskOperation;taskCostSpent;;13;1556951464000;1556951464000;1556951464000.0
taskCostSpent;taskAssigned;;13;1556952144000;1556952144000;1556952144000.0
taskAssigned;taskCostSpent;;13;1556951464000;1556951464000;1556951464000.0
taskCostSpent;taskOperation;;13;1556952144000;1556952144000;1556952144000.0
taskOperation;taskCostSpent;;14;1556951476000;1556951476000;1556951476000.0
